title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,time_slots
Spooky World - Thur Oct 30th,"Spooky World Presents Nightmare New England

Seeking thrills & chills this Halloween Season? Look no further than Spooky World Presents Nightmare New England. Located in Litchfield, New Hampshire, the largest Haunted Destination in the Northeast! All tickets VALID ONLY for the specific day, date & time selected.

VIP Admission

- Timed entry every 15 minutes
- Access through all four haunted attractions twice second visit - Return to ticket booth for second entry wristband and time slot
- Lower-wait entry lines
- Commemorative Spooky World Bracelet (while supplies last)
- Unlimited access to Mel’s Funway Park Go-Karts, Mini Golf, and Batting Cages beginning at Mel's Funway Park Opening Time

General Admission

- Timed entry every 15 minutes
- One-time access through all four haunted attractions

Important Information for All Guests

- Arrive 30 minutes before your ticket time to Check-In at the Ticket Booth or Arcade
- Your ticket time is for boarding the first attraction, Haunted Hayride, not for arrival to the park
- All purchased tickets must be checked in before entering any attraction
- For changes, visit the Showpass Help Center or contact support@showpass.com
- Tickets can be printed or shown on your phone at check-in

Questions: Visit www.spookyworld.com FAQ or support@showpass.com

All Ticket Sales are FINAL -- NO Refunds",https://www.showpass.com/o/spookyworld/,$41.99 - $67.99 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/spookyworld/img-banner/aa6d7961-9ad.png,,America/New_York,,,454 Charles Bancroft Highway,Litchfield,New Hampshire,,United States,,,support@showpass.com,www.spookyworld.com,,"[""Thursday October 30th, 2025, 7:00 PM EDT - 9:30 PM EDT""]"
Frozen in Time,"Join your two favourite princesses for a magical afternoon! This event will be filled with storytelling and singing along to all your favourite songs! This show is a perfect family get together that kids of all ages will enjoy, and the family can enjoy together. To make the afternoon more special, everyone is encouraged to come dressed as their favourite prince, princess, character or even villain.

For those looking to make the afternoon a little bit more magical, VIP tickets are available. These extremely limited tickets include the best seats in the house, and a meet and greet with a photo opportunity with the stars of the show!",https://www.showpass.com/o/keyano-theatre/,$28.57 - $40.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/keyano-theatre/img-banner/db8aa092-b5a.png,,MST,"[""Keyano Theatre""]",,8115 Franklin Ave,Fort McMurray,,,,,,,,,"[""Saturday, November 15, 2025 at 11 AM"", ""Saturday, November 15, 2025 at 2 PM""]"
New Ho Queen: The Offering,"New Ho Queen + Buddies present... The Offering. October 31 2025 // 10PM – 3AM. $20 – $40 advance // $10 timed entry // $50 door all prices + fees. It’s good to be thirsty. This Halloween, serve vamp, hungry ghost, beast, baddie, or chaos ritual. Glam! Or just come weird and hot. We’re not judging. The Gods are.",https://www.showpass.com/o/buddies-in-bad-times-theatre/,$13.00 - $33.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/buddies-in-bad-times-theatre/img-banner/71fa7a18-596.png,,America/Toronto,"[""New Ho Queen"", ""Buddies""]",,12 Alexander St,Toronto,Ontario,,Canada,,,tickets@buddiesinbadtimes.com,https://www.showpass.com/o/buddies-in-bad-times-theatre/,,"[""October 31, 2025, 10:00 PM EDT - 3:00 AM EDT""]"
Disconexion X Halloween in The Tannery,"The Tannery / 19+ Doors 6:30PM / Show 7PM $10 early bird / $15 adv / $20 at the door Accessibility & safety notes: -The Cap record store is accessible during daytime hours through the Queen Street entrance and the Tannery. Ground floor washrooms can be accessed in this space. There is one step to access the Sea Can. Events at night in the Cap are accessible through the Tannery - there are not steps or stairs to enter the Cap. The Wilser's Room & Nest Patios require climbing a full set of stairs. Wilser's Room washrooms require climbing an additional 6 stairs. - Events in the Tannery parking lot are gated, accessible at ground level, and are typically accessible to all ages (determined per event). Washrooms can be accessed through the fire exit of the CAP (right side of the building facing King street), through the King street entrance of Klub Krome. There are also occasions in which porta potties are present at these events, located close to the performance area. - If you use a wheelchair or walking aid, please e-mail thecaprecordstore@gmail.com the day before the show so we can prepare adequate space for you. - Washrooms are gender inclusive (femme/non-binary and masculine/non-binary). Patrons are encouraged to use whichever washroom they feel most comfortable in, and will have the support of our staff in using the washroom of their choosing. - The Cap Safer Spaces policy is in place for the duration of the event. Should you feel unsafe at any time, please speak with any staff member or email thecaprecordstore@gmail.com - Pets are not allowed during events, to ensure the comfort and safety of the animals. Service animals allowed with proper verification and demarcation.",https://www.showpass.com/o/the-cap/,$10.50 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-cap/img-banner/1b60340c-ce6.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-cap/img-banner/1b60340c-ce6.png""]",America/Moncton,"[""The Cap""]",,362 Queen St,Fredericton,New Brunswick,,Canada,,,thecaprecordstore@gmail.com,,,"[""October 31, 2025, 7:00 PM ADT""]"
PACE: Impact Beyond Speed,"Our 2025 main event, ""PACE: Impact Beyond Speed"", takes us on a deep journey about this time and place in our human story. We're in a tumultuous period of great flux, where the pace of life, the speed of decisions, environmental and political volatility and the rate of technological change conspire to... _exhaust? terrify? inspire?_ Take your pick! Our speakers will provoke deep discussions, leading to even more profound connections for participants. They'll be joined by our interactions partners, whose activations will take your thinking even further as you directly experience ideas in action. Join us on October 25th!",https://www.showpass.com/tedxcalgary-pace/,$41.69 - $81.35 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/tedxcalgary/img-banner/944f7701-447.png,,MDT,"[""TEDxCalgary""]",,140 4 Ave SW,Calgary,Alberta,,Canada,,,,https://tedxcalgary.ca/events/item/511-pace,,"[""October 25, 2025, 12:00 PM MDT - 6:00 PM MDT""]"
GRETA YVR Presents: Ghouls Gone Wild,"Join us this Halloween on Friday, October 31st for GRETA Bar YVR’s ultimate Halloween bash: Ghouls Gone Wild! From 9PM to 3AM, dance the night away, enjoy spooky cocktails, and check out our limited-time Freaky Tiki Halloween pop-up. The Freaky Tiki experience takes over the back bar with immersive haunted island décor and a limited-time cocktail menu crafted just for the spooky season. Party in the front, party in the back. It's a Halloween experience you don't want to miss!",https://www.showpass.com/o/hudsons-canadas-pub-2/,$17.87 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0813fd85-e8b.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0813fd85-e8b.png""]",PDT,"[""GRETA Bar YVR""]",,50 W Cordova St,Vancouver,British Columbia,,Canada,,,,,,"[""October 31, 2025, 9:00 PM PDT - 3:00 AM PDT""]"
GRETA YYZ SEPTEMBER GUEST LIST 2025,GRETA YYZ SEPTEMBER GUEST LIST 2025 in Toronto.,https://www.showpass.com/yyz-september-guestlist/,$0.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0f063b9a-983.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0f063b9a-983.png""]",EDT,,,,Toronto,Ontario,,Canada,,,,,,"[""Date & Time TBD""]"
Paint & Sip,Paint & Sip event in Calgary.,https://www.showpass.com/paint_and_sip_gretayyc/,$15 - $25 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/36797a5d-45b.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/36797a5d-45b.png""]",MDT,,,,Calgary,Alberta,,Canada,,,,,,"[""October 23, 2025, 7:00 PM MDT""]"
GRETA YYZ OCTOBER GUEST LIST 2025,GRETA YYZ OCTOBER GUEST LIST 2025 in Toronto.,https://www.showpass.com/greta-yyz-october-guest-list-2025/,$0.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0f063b9a-983.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0f063b9a-983.png""]",EDT,,,,Toronto,Ontario,,Canada,,,,,,"[""Date & Time TBD""]"
Play To Sin Halloween Night,Play To Sin Halloween Night in Toronto.,https://www.showpass.com/play_to_sin_gretabaryyz/,$20 - $50 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/9c0fe3f8-fe1.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/9c0fe3f8-fe1.png""]",EDT,,,,Toronto,Ontario,,Canada,,,,,,"[""October 31, 2025, 9:00 PM EDT""]"
NIGHTMARE UNDER THE BIG TOP: GRETA'S HAUNTED CIRCUS,NIGHTMARE UNDER THE BIG TOP: GRETA'S HAUNTED CIRCUS in Calgary.,https://www.showpass.com/halloweenatgretayyc/,$0 - $40 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/c879c74b-342.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/c879c74b-342.png""]",MDT,,,,Calgary,Alberta,,Canada,,,,,,"[""October 31 - November 2, 2025, 9:00 PM MDT""]"
GHOULS GONE WILD: Halloween at GRETA YEG,GHOULS GONE WILD: Halloween at GRETA YEG in Edmonton.,https://www.showpass.com/ghoulsgonewild/,$15.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/d0d773de-3f6.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/d0d773de-3f6.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""October 31, 2025, 10:00 PM MDT""]"
Econoline Crush,"Keyano Theatre and Suncor Centre Stage present Econoline Crush. It’s more than one shining star for one night only! Canadian rockers Econoline Crush take to the stage in Fort McMurray for a full set of their recent releases and greatest hits since forming in 1992. Finding success at home and abroad with singles like All That You Are, You Don’t Know What It’s Like, Surefire (Never Enough), and Make It Right the band from Vancouver, B.C. is led by lead vocalist Trevor Hurst, featuring Dayvid Swart (drums), Graham Tuson (guitar), and Troy Zak (bass). Their music won’t keep you in your seats for long as the performers channel their high-energy playlist into each performance. Come prepared to rock out on October 25!",https://www.showpass.com/o/keyano-theatre/,$40.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/keyano-theatre/img-banner/2e31737a-124.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/keyano-theatre/img-banner/2e31737a-124.png""]",MDT,"[""Keyano Theatre"", ""Suncor Centre Stage""]",,8115 Franklin Ave,Fort McMurray,Alberta,,Canada,,,boxoffice@keyano.ca,https://www.keyano.ca/en/theatre/your-comfort.aspx,780-791-4990,"[""Saturday, October 25, 2025 at 7:30 PM""]"
9th Annual Christmas Market at the Saskatoon Farm,"We’re excited to invite you to our 9th Annual Christmas Market at The Saskatoon Farm! Experience the magic of winter at The Farm, where our cozy country charm will make you feel like you've gone home for the holidays. Each year we proudly showcase over 200 local vendors on both weekends, offering something for everyone. Children 10 years old and under get in for free! Please note: you can get tickets at the door - WALK-INS ARE WELCOME!! Whether you're shopping for loved ones or enjoying a day out with them, you’re sure to find the perfect gift. Our local vendors are located indoors inside 3 of our beautiful (heated) greenhouses! Escape the city, breathe in the fresh air, and discover the vibrant offerings of our Foothills Community! Our Christmas Market is the perfect opportunity to gather your friends and family for an outing in our paradise in the prairies. Amidst our amazing local vendors, you can find delicious hot food and drinks, roaring outdoor fires with complementary marshmallows, horse-drawn sleigh rides, fresh-cut Christmas Trees, live ice carving, beautiful Christmas backdrops, a Kids Play Place with crafts, games, face painting, a bouncy castle, and live performances. And of course special guest appearances, including the one-and-only Old Saint Nick and his lovely lady.",https://www.showpass.com/o/saskatoon-farm/,$11.20 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/saskatoon-farm/img-banner/d74a7ea3-665.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/saskatoon-farm/img-banner/d74a7ea3-665.png""]",MST,"[""Saskatoon Farm""]",,80181 338 Ave E,Foothills County,Alberta,,Canada,,,,https://www.showpass.com/o/saskatoon-farm/,,"[""November 28, 2025, 12:00 PM MST - 6:00 PM MST""]"
Canadian Women's Squash Open & Toronto Athletic Club Squash Open,"Be court-side for one of Canada’s premier professional squash tournaments, the 2025 Canadian Women’s Squash Open! This event brings together top talent from the PSA World Tour for a week of thrilling, fast-paced action in the downtown core of Toronto. Held in the Allen Lambert Galleria of Brookfield Place, the Canadian Women’s Open is a highlight of the global squash calendar and offers fans a rare opportunity to see the world’s best players compete live in an intimate and electric setting. Previous Canadian Women's Opens have featured international stars such as: Tinne Gilis, Amanda Sobhy, Nele Gilis-Coll, Hollie Naughton, Sarah-Jane Perry, and more!",https://www.showpass.com/canadian-women-squash-open-2025/,,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/squash-canada/img-banner/621aebf4-73c.png,,America/Toronto,"[""Squash Canada""]",,181 Bay St.,Toronto,ON,,Canada,43.6469852,-79.3782846,seanna.keating@squash.ca,https://squash.ca/canadian-womens-open-2025/,,"[""October 25, 2025 - Round 1 (Separate Afternoon & Evening Sessions) - 4 Women's Matches Per Session."", ""October 26, 2025 - Round 2 (Separate Afternoon & Evening Sessions) - 4 Women's Matches Per Session."", ""October 27, 2025 - Quarter Finals Night 1 (4 Matches, W & M)"", ""October 28, 2025 - Quarter Finals Night 2 (4 Matches, W & M)"", ""October 29, 2025 - Semi Finals (4 Matches, W & M)"", ""October 30, 2025 - Finals (2 Matches, W & M)""]"
2025 Toronto Athletic Club Squash Open,"Running in tandem with the Canadian Women’s Squash Open, the 2025 Toronto Athletic Club (TAC) Squash Open brings the intensity of world-class men’s squash to downtown Toronto. As a PSA Copper event, the TAC Open showcases rising stars and established pros from the PSA World Tour, delivering fast, physical, and high-stakes matches in one of Toronto’s most iconic venues. From the Quarter Finals onward, the TAC Open will join the Canadian Women's Open programming in Brookfield Place on the all-glass Jonathon Power Court. The combination of the Women’s Open and the TAC Open ensures back-to-back world-class matches, creating one of the most dynamic squash spectacles in Canada.",https://www.showpass.com/canadian-women-squash-open-2025/,,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/squash-canada/img-banner/621aebf4-73c.png,,America/Toronto,"[""Squash Canada""]",,181 Bay St.,Toronto,ON,,Canada,43.6469852,-79.3782846,seanna.keating@squash.ca,https://squash.ca/canadian-womens-open-2025/,,"[""October 25, 2025 - Round 1 (Separate Afternoon & Evening Sessions at TAC) - 4 Men's Matches Per Session."", ""October 26, 2025 - Round 2 (Separate Afternoon & Evening Sessions at TAC) - 4 Men's Matches Per Session."", ""October 27, 2025 - Quarter Finals Night 1 (4 Matches, W & M at Brookfield Place)"", ""October 28, 2025 - Quarter Finals Night 2 (4 Matches, W & M at Brookfield Place)"", ""October 29, 2025 - Semi Finals (4 Matches, W & M at Brookfield Place)"", ""October 30, 2025 - Finals (2 Matches, W & M at Brookfield Place)""]"
NIGHTMARE UNDER THE BIG TOP: GRETA'S HAUNTED CIRCUS,"Step right up... if you dare. This Halloween, GRETA transforms into a twisted carnival of terror where childhood memories become your darkest fears. Welcome to our haunted circus, where the performers never left and the show must go on... forever. Whether you’re seeking spine-tingling scares or atmospheric thrills, our haunted circus has frights for every fear level. Come dressed in your most creative costume — circus performers, vintage horror, or anything that captures the spirit of our supernatural sideshow. The greatest show on earth has become the most terrifying. Will you survive the final act or become part of the permanent cast? Costumes encouraged! Disclaimer: This is an 18+ event. Tickets are required after 9 PM. Entry is subject to capacity limits set by AGLC and fire code. Valid physical ID required. GRETA reserves the right to refuse entry or service at any time.",https://www.showpass.com/o/hudsons-canadas-pub-2/,$0.00 - $44.23 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/c879c74b-342.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/c879c74b-342.png""]",America/Edmonton,"[""GRETA Bar""]",,213 10 Ave SW,Calgary,Alberta,,Canada,,,,,,"[""October 31, 2025, 9:00 PM MDT"", ""November 1, 2025""]"
Play To Sin Halloween Night,,https://www.showpass.com/play_to_sin_gretabaryyz/,$20 - $50 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/9c0fe3f8-fe1.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/9c0fe3f8-fe1.png""]",America/Toronto,,,,Toronto,Ontario,,Canada,,,,,,"[""October 31, 2025, 9:00 PM EDT""]"
GRETA YVR Presents: Ghouls Gone Wild,,https://www.showpass.com/greta-yvr-presents-ghouls-gone-wild/,$15.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0813fd85-e8b.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/0813fd85-e8b.png""]",America/Vancouver,,,,Vancouver,British Columbia,,Canada,,,,,,"[""October 31, 2025, 9:00 PM PDT""]"
