Province,Website Name,Category,Website URL,Type,Notes,Verified by,Difficulty,,,,,,,,,,,,,,,,,
Manitoba,Brandon Chamber of Commerce,Business Events,https://brandonchamber.ca,,GrowthZone events module; follow detail pages for addresses; login required for some features,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,Brandon Economic Development,Business Events,https://economicdevelopmentbrandon.com,,Event calendar under economic development; details structured; crawlable,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,Tourism Brandon,Tourism Businesses,https://tourismbrandon.com,,Event listings crawlable; some link externally to organizers,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Manitoba,Economic Development Winnipeg,Business Events,https://www.economicdevelopmentwinnipeg.com,,Event calendar with structured data; some events link out,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,North Forge,Business Events,https://northforge.ca,,Startup incubator; event calendar crawlable; login needed for member resources,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,Startup TNT,Business Events,https://www.startuptnt.com,,Startup pitch event listings; crawlable; detail pages expose full info,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Manitoba,Tourism Winnipeg,Tourism Businesses,https://www.tourismwinnipeg.com,,Centralized events calendar; crawlable; detail pages structured,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Manitoba,Winnipeg Chamber of Commerce,Business Events,https://www.winnipeg-chamber.com,,GrowthZone events; structured but login needed for some content,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,Winnipeg Sports Calendar,Sporting Events,https://www.tourismwinnipeg.com/events,,Sports events crawlable; detail pages structured; some link externally,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Manitoba,World Trade Centre Winnipeg,Business Events,https://www.wtcwinnipeg.com,,Business events calendar crawlable; structured fields in detail pages,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Manitoba,Travel Manitoba,Tourism Businesses,https://www.travelmanitoba.com,,Provincial DMO; centralized event and attraction data; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Manitoba,Travel Manitoba - Festivals & Events,Festivals,https://www.travelmanitoba.com/events/,,Dedicated festival/events directory; event detail pages structured,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,Fredericton Chamber of Commerce,Business Events,https://www.frederictonchamber.ca,,GrowthZone events; detail pages structured; login required for some sections,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Ignite Fredericton,Business Events,https://www.ignitefredericton.com,,Economic development office; events calendar crawlable; some external links,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Planet Hatch,Business Events,https://planethatch.com,,Startup incubator; event listings structured; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Tourism Fredericton,Tourism Businesses,https://www.tourismfredericton.ca,,Centralized events; detail pages structured; some link externally,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
New Brunswick,3+ Corporation,Business Events,https://3plus.ca,,Economic development org; event calendar crawlable; structured fields limited,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Greater Moncton Chamber of Commerce,Business Events,https://ccgm.ca,,GrowthZone-based events; detail pages provide structured info,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Tourism Moncton,Tourism Businesses,https://tourismmoncton.ca,,Tourism board; event listings crawlable; external links common,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Venn Innovation,Business Events,https://www.venninnovation.com,,Tech hub; events and programs crawlable; no API,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Discover Saint John,Tourism Businesses,https://www.discoversaintjohn.com,,Central events calendar; detail pages structured; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Economic Development Greater Saint John,Business Events,https://edgsj.com,,Economic development org; events crawlable; some data link out,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Saint John Region Chamber of Commerce,Business Events,https://thechambersj.com,,GrowthZone events; login required for member features,Madhavi,Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Discover NB Festivals & Events,Festivals,https://tourismnewbrunswick.ca/festivals-events,festival,Dedicated festival/events directory; detail pages structured,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
New Brunswick,Tourism New Brunswick,Tourism Businesses,https://www.tourismnewbrunswick.ca,,Provincial DMO; centralized listings; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Destination St. John’s,Tourism Businesses,https://www.destinationstjohns.com,,Centralized events and attractions; crawlable; detail pages structured,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Genesis Centre (Memorial Univ.),Business Events,https://www.genesiscentre.ca,,Startup accelerator; events/programs crawlable; no API,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,St. John’s Board of Trade,Business Events,https://www.bot.nf.ca,,GrowthZone-based; events behind login for members; structured detail pages,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,TechNL,Business Events,https://www.technl.ca,,Tech association; events calendar crawlable; detail pages structured,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,NL Tourism – Events Calendar,Festivals,https://www.newfoundlandlabrador.com/plan-and-book/festivals-and-events,,Dedicated festival/events directory; event detail pages structured,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Newfoundland & Labrador Tourism,Tourism Businesses,https://www.newfoundlandlabrador.com,,Provincial DMO; centralized listings; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Cape Breton Regional Chamber of Commerce,Business Events,https://www.cbregionalchamber.ca,,GrowthZone events; detail pages structured; login required for members,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Destination Cape Breton,Tourism Businesses,https://www.cbisland.com,,Centralized regional tourism site; events and attractions crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Digital Nova Scotia,Business Events,https://digitalnovascotia.com,,Tech industry association; event listings structured; crawlable,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Discover Halifax,Tourism Businesses,https://discoverhalifaxns.com,,City tourism board; centralized events; crawlable detail pages,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Chamber of Commerce,Business Events,https://www.halifaxchamber.com,,GrowthZone events calendar; structured but login needed for members,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Partnership,Business Events,https://halifaxpartnership.com,,Economic development office; events crawlable; detail pages available,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Volta,Business Events,https://voltaeffect.com,,Startup hub; events/programs crawlable; no public API,Madhavi,Moderate,,,,,,,,,,,,,,,,,
Nova Scotia,Tourism Nova Scotia,Tourism Businesses,https://www.novascotia.com,,Provincial DMO; attractions and events crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,Ajax-Pickering Board of Trade,Events,https://apboardoftrade.com/eventcalendar,,"Listing shows Results: 77 with date filters; each item links to a public detail page including title, start/end datetime, description, venue/address, category, contact, and share links",Emmanuel,Hard,,,,,,,,,,,,,,,,,
Ontario,Durham Region Economic Development,Events,https://investdurham.ca      https://calendar.durham.ca/,,Use Region calendar; filter to Invest Durham Events,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Durham Toursim,Toursim Events,https://www.durhamtourism.ca   https://calendar.durham.ca/tourismevents?,,Durham Tourism also links an events landing page on durhamtourism.ca that points users to the region calendar. Use /tourismevents list and follow Detail pages like https://calendar.durham.ca/tourismevents/Detail/2019-04-05-1830-PJ-Masks-Live?,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Barrie Chamber of Commerce,Chamber /Business Events,https://business.barriechamber.com/events/,,"Uses Growth zone, legal review is needed  Proceed Politely ",Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,City of Barrie,Events,https://www.barrie.ca/events/calendar,,Use /events/calendar without query params when possible; follow “Community Events” detail pages under /community-recreation-environment/community-events/<slug> for structured fields.,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Tourism Barrie,Events Festival,https://www.tourismbarrie.com/festivals-events,festival,Some events link out to external organizers,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Bay of Quinte Region (DMO),Toursim Events,https://bayofquinte.ca/events/,,--,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Belleville Chamber of Commerce,Business Events,https://business.bellevillechamber.ca/events,,uses Id for subdomain,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,City of Belleville,Toursim Events,https://discoverbelleville.ca/events/,,--,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Brampton Board of Trade,"Business ",https://bramptonbot.com/upcoming-events/,,No useful data needed from it,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Brampton Entrepreneur Centre (BEC),Business,https://bec.brampton.ca/events,,Also surfaced under InvestBrampton (same events) uses JS,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Experience Brampton,Toursim Events,https://experiencebrampton.com/,,"Festivals & Events page also exists, but ExperienceBrampton is the centralized, scrape-friendly source",Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Burlington Chamber of Commerce,Chamber /Business Events,https://www.burlingtonchamber.com/events-calendar/,,Everything is crawlable,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Burlington Economic Development & Tourism (BEDC),Business,https://bedc.ca/,,--,Emmanuel,N/A,,,,,,,,,,,,,,,,,
Ontario,Tourism Burlington,Tourism / Events,https://tourismburlington.ca/events/,,"Event list & detail pages expose title, datetime, venue/address",Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Guelph Chamber of Commerce,Chamber /Business Events,https://www.guelphchamber.com/events,,--,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,City of Guelph – Business,Business,https://guelph.ca/business/economic-development-office/business-related-event-calendars/,,does not host event listings with required fields.,Emmanuel,N/A,,,,,,,,,,,,,,,,,
Ontario,Visit Guelph Wellington (Gather in Guelph),Tourism / Events,https://visitguelphwellington.ca/events/,,--,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Hamilton Chamber of Commerce,Chamber /Business Events,https://www.hamiltonchamber.ca/events-home/,,Upcoming events contain data including address,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,"Invest in Hamilton ",Economic Event,https://investinhamilton.ca,,"Under Events Calendar, details page include full address",Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Innocation Factory,Innovation Event,https://innovationfactory.ca,,some events link out to Eventbrite,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Tourism Hamilton,Tourism / Events,https://tourismhamilton.com,,--,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Greater Kingston Chamber of Commerce,Chamber /Business Events,https://business.kingstonchamber.ca/chamber-events-calendar,,--,Emmanuel,Medium,,,,,,,,,,,,,,,,,
Ontario,Kingston Economic Development Corporation,Economic Event,https://www.investkingston.ca/events/,,--,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Communitech,Tech Event,https://www.communitech.ca/community/events/,,Need to index to details to get full details. most public events shows same address,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Explore Waterloo Region,Toursim Events,https://explorewaterloo.ca/events/,,--,Emmanuel,Easy,,,,,,,,,,,,,,,,,
Ontario,Greater KW Chamber of Commerce,Chamber /Business Events,https://greaterkwchamber.com/networking-events/events-calendar/,,Need to index to details to get full details.,Emmanuel,Medium,,,,,,,,,,,,,,,,,
